,node_index,node_name,node_source,node_id,node_type
144,144,SMAD3,NCBI,4088,gene/protein
179,179,IL10RB,NCBI,3588,gene/protein
192,192,GNA12,NCBI,2768,gene/protein
279,279,HNF4A,NCBI,3172,gene/protein
417,417,VCAM1,NCBI,7412,gene/protein
625,625,IL7R,NCBI,3575,gene/protein
657,657,DEFA6,NCBI,1671,gene/protein
729,729,STAT3,NCBI,6774,gene/protein
772,772,RELA,NCBI,5970,gene/protein
989,989,PPARG,NCBI,5468,gene/protein
1004,1004,IL1B,NCBI,3553,gene/protein
1122,1122,PPARA,NCBI,5465,gene/protein
1299,1299,IL10RA,NCBI,3587,gene/protein
1480,1480,ADIPOQ,NCBI,9370,gene/protein
1567,1567,IL6,NCBI,3569,gene/protein
1618,1618,JAK2,NCBI,3717,gene/protein
1654,1654,IL1R2,NCBI,7850,gene/protein
1777,1777,HERC2,NCBI,8924,gene/protein
1990,1990,FCGR2A,NCBI,2212,gene/protein
2012,2012,CXCR1,NCBI,3577,gene/protein
2057,2057,FN1,NCBI,2335,gene/protein
2078,2078,SLC26A3,NCBI,1811,gene/protein
2111,2111,LRRK2,NCBI,120892,gene/protein
2139,2139,ARPC2,NCBI,10109,gene/protein
2329,2329,TNF,NCBI,7124,gene/protein
2384,2384,CRP,NCBI,1401,gene/protein
2543,2543,CDH1,NCBI,999,gene/protein
2643,2643,LSP1,NCBI,4046,gene/protein
2712,2712,CASP3,NCBI,836,gene/protein
2749,2749,LAMB1,NCBI,3912,gene/protein
2874,2874,PRDM1,NCBI,639,gene/protein
2889,2889,TGFB1,NCBI,7040,gene/protein
2978,2978,CXCL8,NCBI,3576,gene/protein
2983,2983,IL10,NCBI,3586,gene/protein
3064,3064,CXCR2,NCBI,3579,gene/protein
3088,3088,DNMT3A,NCBI,1788,gene/protein
3233,3233,LTF,NCBI,4057,gene/protein
3259,3259,TLR4,NCBI,7099,gene/protein
3333,3333,FPR2,NCBI,2358,gene/protein
3414,3414,IKZF1,NCBI,10320,gene/protein
3460,3460,CARD9,NCBI,64170,gene/protein
3469,3469,VTN,NCBI,7448,gene/protein
3474,3474,MMP9,NCBI,4318,gene/protein
3484,3484,SLC22A5,NCBI,6584,gene/protein
3495,3495,IFNG,NCBI,3458,gene/protein
3578,3578,ECM1,NCBI,1893,gene/protein
3646,3646,IRF5,NCBI,3663,gene/protein
4152,4152,ABCB1,NCBI,5243,gene/protein
4162,4162,PTPN2,NCBI,5771,gene/protein
4731,4731,RIPK2,NCBI,8767,gene/protein
4818,4818,MPO,NCBI,4353,gene/protein
4968,4968,ICAM1,NCBI,3383,gene/protein
4997,4997,MST1,NCBI,4485,gene/protein
5022,5022,ITGAM,NCBI,3684,gene/protein
5195,5195,TCF7,NCBI,6932,gene/protein
5385,5385,SLC22A4,NCBI,6583,gene/protein
5720,5720,IGF1,NCBI,3479,gene/protein
5805,5805,DEFA5,NCBI,1670,gene/protein
5915,5915,CCL2,NCBI,6347,gene/protein
6168,6168,IL12B,NCBI,3593,gene/protein
6175,6175,MTHFR,NCBI,4524,gene/protein
6229,6229,NOD2,NCBI,64127,gene/protein
6428,6428,TYK2,NCBI,7297,gene/protein
6661,6661,ATG16L1,NCBI,55054,gene/protein
7059,7059,IL2RA,NCBI,3559,gene/protein
7083,7083,HLA-DRB1,NCBI,3123,gene/protein
7359,7359,ADCY7,NCBI,113,gene/protein
7384,7384,CCL20,NCBI,6364,gene/protein
7899,7899,NCF4,NCBI,4689,gene/protein
7958,7958,BACH2,NCBI,60468,gene/protein
8030,8030,CDH3,NCBI,1001,gene/protein
8564,8564,KIF21B,NCBI,23046,gene/protein
9104,9104,INAVA,NCBI,55765,gene/protein
9454,9454,ICOSLG,NCBI,23308,gene/protein
9763,9763,ORMDL3,NCBI,94103,gene/protein
10113,10113,TLR9,NCBI,54106,gene/protein
10191,10191,FUT2,NCBI,2524,gene/protein
10919,10919,PSMG1,NCBI,8624,gene/protein
11103,11103,SPHK1,NCBI,8877,gene/protein
11134,11134,NR1H4,NCBI,9971,gene/protein
11199,11199,DAP,NCBI,1611,gene/protein
11523,11523,LEP,NCBI,3952,gene/protein
11588,11588,IL18RAP,NCBI,8807,gene/protein
12305,12305,NLRP3,NCBI,114548,gene/protein
12663,12663,SLC11A1,NCBI,6556,gene/protein
12740,12740,CCR6,NCBI,1235,gene/protein
12763,12763,ERAP2,NCBI,64167,gene/protein
12816,12816,MUC2,NCBI,4583,gene/protein
13014,13014,PHOX2B,NCBI,8929,gene/protein
13365,13365,CCNY,NCBI,219771,gene/protein
21972,21972,GHRL,NCBI,51738,gene/protein
22105,22105,GPBAR1,NCBI,151306,gene/protein
34623,34623,TNFSF15,NCBI,9966,gene/protein
34776,34776,GPR65,NCBI,8477,gene/protein
34777,34777,MASP2,NCBI,10747,gene/protein
34778,34778,IL23R,NCBI,149233,gene/protein
34779,34779,NKX2-3,NCBI,159296,gene/protein
34780,34780,IRGM,NCBI,345611,gene/protein
34781,34781,IL17REL,NCBI,400935,gene/protein
34814,34814,TAGAP,NCBI,117289,gene/protein
34887,34887,DENND1B,NCBI,163486,gene/protein
34967,34967,IL21,NCBI,59067,gene/protein
39914,39914,regulation of smooth muscle contraction,GO,6940,biological_process
39917,39917,cell migration,GO,16477,biological_process
39918,39918,chemotaxis,GO,6935,biological_process
39920,39920,immune system process,GO,2376,biological_process
39942,39942,lipid metabolic process,GO,6629,biological_process
39945,39945,carbohydrate metabolic process,GO,5975,biological_process
39946,39946,hormone metabolic process,GO,42445,biological_process
39950,39950,import into nucleus,GO,51170,biological_process
39954,39954,intracellular protein transport,GO,6886,biological_process
39967,39967,negative regulation of lipid metabolic process,GO,45833,biological_process
39968,39968,regulation of lipoprotein lipid oxidation,GO,60587,biological_process
39969,39969,basement membrane assembly,GO,70831,biological_process
39991,39991,aging,GO,7568,biological_process
39993,39993,hair cycle process,GO,22405,biological_process
39995,39995,immune response,GO,6955,biological_process
39997,39997,defense response,GO,6952,biological_process
39999,39999,inflammatory response,GO,6954,biological_process
40004,40004,positive regulation of innate immune response,GO,45089,biological_process
40005,40005,positive regulation of cytokine-mediated signaling pathway,GO,1961,biological_process
40007,40007,negative regulation of cytokine-mediated signaling pathway,GO,1960,biological_process
40015,40015,positive regulation of oxidoreductase activity,GO,51353,biological_process
40047,40047,regulation of T-helper cell differentiation,GO,45622,biological_process
40052,40052,regulation of complement activation,GO,30449,biological_process
40058,40058,negative regulation of inflammatory response,GO,50728,biological_process
40062,40062,negative regulation of phagocytosis,GO,50765,biological_process
40074,40074,negative regulation of gene expression,GO,10629,biological_process
40079,40079,anatomical structure development,GO,48856,biological_process
40080,40080,post-embryonic development,GO,9791,biological_process
40081,40081,extracellular matrix organization,GO,30198,biological_process
40082,40082,neuron projection development,GO,31175,biological_process
40085,40085,maternal process involved in female pregnancy,GO,60135,biological_process
40092,40092,phosphate-containing compound metabolic process,GO,6796,biological_process
40124,40124,fatty acid metabolic process,GO,6631,biological_process
40136,40136,xenobiotic metabolic process,GO,6805,biological_process
